,station_id,station_name,lat,lon,jan_count,feb_count,mar_count,apr_count,may_count,jun_count,jul_count,aug_count,sep_count,oct_count,nov_count,dec_count
92,JC055,McGinley Square,40.72548008,-74.067639947,1265,1121,1497,1694,1852,1378,1705,1906,1650,1706,1313,1059
93,JC077,Astor Place,40.71928220070702,-74.07126188278198,511,446,543,737,741,688,829,846,680,814,606,473
94,HB409,Clinton St & Newark St,40.73743,-74.03571,1515,1361,1603,1913,2369,2495,2755,2862,2238,2287,1876,1476
95,JC023,Brunswick St,40.724039316,-74.050679684,1119,908,1197,1616,1759,1784,2035,2238,1662,1683,1563,1145
96,6115.06,Hudson St & W 13 St,40.74005708567285,-74.0052741765976,2,0,0,0,2,2,1,0,0,2,0,0
97,5065.10,Maiden Ln & Pearl St,40.70706456,-74.00731853,1,2,8,6,8,3,13,10,5,6,5,5
98,5636.13,E 1 St & Bowery,40.72486122254819,-73.99213135242462,1,0,0,2,0,0,0,0,0,1,0,0
99,7281.09,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,1,0,0,0,0,0,0,0,0,0,0,0
100,5653.12,Spring St & Hudson St,40.72583996792375,-74.0076532959938,1,1,0,0,0,0,1,5,5,1,3,0
101,6584.12,E 47 St & Park Ave,40.75510267,-73.97498696,1,0,0,0,0,0,0,0,2,0,1,0
102,6765.01,12 Ave & W 40 St,40.76087502,-74.00277668,1,1,1,0,5,7,3,5,9,7,8,8
103,5065.12,William St & Pine St,40.70717936,-74.00887308,1,0,0,2,0,0,0,0,3,1,3,1
104,5024.10,Water St &  Fletcher St,40.706410755236135,-74.00559738278389,1,1,0,1,2,1,3,1,0,0,0,1
105,5216.06,Vesey St & Church St,40.71221958009051,-74.01047229766846,2,1,0,1,1,3,0,4,5,5,4,1
106,4846.01,South St & Whitehall St,40.70122128,-74.01234218,2,0,0,0,0,2,0,0,0,0,0,0
107,5391.06,Lispenard St & Broadway,40.71939226,-74.00247214,1,0,0,0,0,1,0,0,1,0,1,2
108,7059.01,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,1,0,0,0,0,1,0,0,2,0,0,0
109,5184.08,West St & Liberty St,40.711444,-74.014847,2,1,2,1,0,2,5,0,4,0,0,0
110,5470.10,Greenwich St & Hubert St,40.721319,-74.010065,3,3,3,6,10,11,18,14,7,21,16,5
111,5470.12,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,1,1,2,3,5,11,4,6,11,9,6,1
112,6801.01,E 59 St & Madison Ave,40.76350532,-73.97109243,1,0,0,0,0,0,0,0,0,0,0,0
113,5105.01,Liberty St & Broadway,40.70905623,-74.01043382,2,2,3,0,3,0,1,1,2,2,2,0
114,7701.21,5 Ave & W 126 St,40.80722,-73.9418,1,0,0,0,0,0,0,0,0,0,0,0
115,4962.01,Broadway & Battery Pl,40.70463334,-74.01361706,3,0,0,0,0,0,1,0,0,0,1,1
116,5145.02,Albany St & Greenwich St,40.709267,-74.013247,1,0,0,0,0,0,1,0,0,0,0,0
117,5430.10,6 Ave & Walker St,40.7197920901383,-74.0052238852195,4,3,1,1,7,4,5,3,1,2,1,3
118,HB103,South Waterfront Walkway - Sinatra Dr & 1 St,40.73698221818716,-74.02778059244156,3548,3311,4273,5971,6813,6951,7836,7723,5676,5219,3006,2239
119,JC014,Columbus Drive,40.71835519823214,-74.03891444206238,1325,1279,1533,2002,2700,2817,3111,3114,2639,2540,2312,1645
120,6483.06,W 36 St & 7 Ave,40.752149,-73.989539,1,0,0,0,0,0,0,0,0,0,0,0
121,HB608,2 St & Park Ave,40.73915272763701,-74.0330819785595,0,299,1014,1424,1712,1867,1853,2198,1901,2205,1617,1147
122,5430.08,Franklin St & W Broadway,40.71911552,-74.00666661,0,2,0,1,2,0,0,1,0,0,0,1
123,6676.02,W 45 St & 8 Ave,40.75929124,-73.98859651,0,1,0,0,2,1,1,0,0,0,0,2
124,6289.06,Broadway & W 29 St,40.7462009,-73.98855723,0,1,0,0,0,0,0,0,4,0,0,0
125,5368.03,River Ter & Warren St,40.71759894980997,-74.01587963104248,0,1,2,2,5,3,2,1,5,3,7,2
126,6517.08,W 42 St & 6 Ave,40.75492,-73.98455,0,1,0,0,0,0,0,0,0,0,0,0
127,6224.03,W 22 St & 8 Ave,40.74475148,-73.99915362,0,1,0,0,0,0,0,0,0,0,0,0
128,7692.11,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,0,1,0,0,0,0,0,0,0,0,0,0
129,5636.11,Great Jones St,40.72743423,-73.99379025,0,1,0,1,3,0,0,0,2,1,0,1
130,5096.12,Peck Slip & South St,40.7075188830923,-74.00108054280281,0,1,0,0,1,0,0,0,0,0,1,0
131,5359.12,Duane St & Hudson St,40.71703,-74.00925,0,1,0,1,0,0,1,0,0,0,0,3
132,8358.03,W 180 St & Ft Washington Ave,40.849972,-73.938423,0,1,1,2,5,0,5,1,1,1,1,0
